"Path","Lines","SizeKB"
"C:\Users\Al_Yafour\Desktop\Github Al YAFOUR\ERB-project\ERB-core-Frontend\app\purchase-orders\new\page.tsx","999","44.21"
"C:\Users\Al_Yafour\Desktop\Github Al YAFOUR\ERB-project\ERB-core-Frontend\app\purchase-orders\page.tsx","139","7.65"
"C:\Users\Al_Yafour\Desktop\Github Al YAFOUR\ERB-project\ERB-core-Frontend\app\purchase-quotations\[id]\page.tsx","554","22.48"
"C:\Users\Al_Yafour\Desktop\Github Al YAFOUR\ERB-project\ERB-core-Frontend\app\purchase-quotations\new\page.tsx","828","35.08"
"C:\Users\Al_Yafour\Desktop\Github Al YAFOUR\ERB-project\ERB-core-Frontend\app\purchase-quotations\page.tsx","162","8.76"
"C:\Users\Al_Yafour\Desktop\Github Al YAFOUR\ERB-project\ERB-core-Frontend\app\purchase-requests\[id]\page.tsx","613","26.27"
"C:\Users\Al_Yafour\Desktop\Github Al YAFOUR\ERB-project\ERB-core-Frontend\app\purchase-requests\[id]\tracking\page.tsx","787","33.76"
"C:\Users\Al_Yafour\Desktop\Github Al YAFOUR\ERB-project\ERB-core-Frontend\app\purchase-requests\new\page.tsx","674","26.6"
"C:\Users\Al_Yafour\Desktop\Github Al YAFOUR\ERB-project\ERB-core-Frontend\app\purchase-requests\page.tsx","178","10.77"
"C:\Users\Al_Yafour\Desktop\Github Al YAFOUR\ERB-project\ERB-core-Frontend\app\quotation-requests\[id]\page.tsx","103","3.89"
"C:\Users\Al_Yafour\Desktop\Github Al YAFOUR\ERB-project\ERB-core-Frontend\app\quotation-requests\new\page.tsx","427","17.41"
"C:\Users\Al_Yafour\Desktop\Github Al YAFOUR\ERB-project\ERB-core-Frontend\app\quotation-requests\page.tsx","135","6.71"
"C:\Users\Al_Yafour\Desktop\Github Al YAFOUR\ERB-project\ERB-core-Frontend\app\register\page.tsx","141","8.11"
"C:\Users\Al_Yafour\Desktop\Github Al YAFOUR\ERB-project\ERB-core-Frontend\app\resolve\[token]\page.tsx","245","8.32"
"C:\Users\Al_Yafour\Desktop\Github Al YAFOUR\ERB-project\ERB-core-Frontend\app\settings\page.tsx","4","0.13"
"C:\Users\Al_Yafour\Desktop\Github Al YAFOUR\ERB-project\ERB-core-Frontend\app\settings\permissions\page.tsx","401","24.85"
"C:\Users\Al_Yafour\Desktop\Github Al YAFOUR\ERB-project\ERB-core-Frontend\app\suppliers\[id]\page.tsx","413","15.44"
"C:\Users\Al_Yafour\Desktop\Github Al YAFOUR\ERB-project\ERB-core-Frontend\app\suppliers\new\page.tsx","358","13.29"
"C:\Users\Al_Yafour\Desktop\Github Al YAFOUR\ERB-project\ERB-core-Frontend\app\suppliers\page.tsx","187","8.84"
"C:\Users\Al_Yafour\Desktop\Github Al YAFOUR\ERB-project\ERB-core-Frontend\app\suppliers\view\[id]\page.tsx","589","20.23"
"C:\Users\Al_Yafour\Desktop\Github Al YAFOUR\ERB-project\ERB-core-Frontend\app\tasks\page.tsx","718","56.23"
"C:\Users\Al_Yafour\Desktop\Github Al YAFOUR\ERB-project\ERB-core-Frontend\app\tasks\teams\page.tsx","301","23.9"
"C:\Users\Al_Yafour\Desktop\Github Al YAFOUR\ERB-project\ERB-core-Frontend\app\users\[id]\page.tsx","498","31.05"
"C:\Users\Al_Yafour\Desktop\Github Al YAFOUR\ERB-project\ERB-core-Frontend\app\users\new\page.tsx","17","0.49"
"C:\Users\Al_Yafour\Desktop\Github Al YAFOUR\ERB-project\ERB-core-Frontend\app\users\page.tsx","142","5.71"
"C:\Users\Al_Yafour\Desktop\Github Al YAFOUR\ERB-project\ERB-core-Frontend\app\users\pending\page.tsx","131","5.57"
"C:\Users\Al_Yafour\Desktop\Github Al YAFOUR\ERB-project\ERB-core-Frontend\app\users\view\[id]\page.tsx","12","0.34"
"C:\Users\Al_Yafour\Desktop\Github Al YAFOUR\ERB-project\ERB-core-Frontend\app\viewport.ts","10","0.29"
"C:\Users\Al_Yafour\Desktop\Github Al YAFOUR\ERB-project\ERB-core-Frontend\app\violations\page.tsx","634","38.09"
"C:\Users\Al_Yafour\Desktop\Github Al YAFOUR\ERB-project\ERB-core-Frontend\app\violations\resolve\[id]\page.tsx","281","10.51"
"C:\Users\Al_Yafour\Desktop\Github Al YAFOUR\ERB-project\ERB-core-Frontend\components\auth\RouteGuard.tsx","87","2.93"
"C:\Users\Al_Yafour\Desktop\Github Al YAFOUR\ERB-project\ERB-core-Frontend\components\customers\CustomerFormWizard.tsx","238","9.72"
"C:\Users\Al_Yafour\Desktop\Github Al YAFOUR\ERB-project\ERB-core-Frontend\components\customers\DynamicFormStep.tsx","232","8.99"
"C:\Users\Al_Yafour\Desktop\Github Al YAFOUR\ERB-project\ERB-core-Frontend\components\customers\formConfigs\basicFormConfig.ts","38","2.13"
"C:\Users\Al_Yafour\Desktop\Github Al YAFOUR\ERB-project\ERB-core-Frontend\components\customers\formConfigs\companyFormConfig.ts","76","5.55"
"C:\Users\Al_Yafour\Desktop\Github Al YAFOUR\ERB-project\ERB-core-Frontend\components\customers\formConfigs\ownerFormConfig.ts","57","4.24"
"C:\Users\Al_Yafour\Desktop\Github Al YAFOUR\ERB-project\ERB-core-Frontend\components\icons\index.tsx","100","7.31"
